Step,Time,Drone_Position,Current_Target,Distance_Error,Waypoint_Reached,Reward,Info
0,0.05733966827392578,"[0.0, 0.0, 1.0046522617340088]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.518728,False,-4.518727779388428,"{'tracking_error': 4.518728, 'drone_position': [0.0, 0.0, 1.0046522617340088], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
1,0.1201791763305664,"[0.0003276664938312024, -0.00021042997832410038, 1.0097205638885498]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.5175633,False,-4.517563343048096,"{'tracking_error': 4.5175633, 'drone_position': [0.0003276664938312024, -0.00021042997832410038, 1.0097205638885498], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
2,0.1835176944732666,"[0.0011494607897475362, -0.0005819913931190968, 1.0148561000823975]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.5158815,False,-4.515881538391113,"{'tracking_error': 4.5158815, 'drone_position': [0.0011494607897475362, -0.0005819913931190968, 1.0148561000823975], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
3,0.2454512119293213,"[0.0025171369779855013, -0.0009306548745371401, 1.019797444343567]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.5137167,False,-4.513716697692871,"{'tracking_error': 4.5137167, 'drone_position': [0.0025171369779855013, -0.0009306548745371401, 1.019797444343567], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
4,0.3065981864929199,"[0.004367643501609564, -0.0009714011684991419, 1.0243786573410034]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.5112205,False,-4.511220455169678,"{'tracking_error': 4.5112205, 'drone_position': [0.004367643501609564, -0.0009714011684991419, 1.0243786573410034], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
5,0.37035393714904785,"[0.006481313146650791, -0.0003788574831560254, 1.0286015272140503]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.508679,False,-4.508678913116455,"{'tracking_error': 4.508679, 'drone_position': [0.006481313146650791, -0.0003788574831560254, 1.0286015272140503], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
6,0.43387627601623535,"[0.00853037927299738, 0.001026554498821497, 1.032721996307373]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.5064077,False,-4.506407737731934,"{'tracking_error': 4.5064077, 'drone_position': [0.00853037927299738, 0.001026554498821497, 1.032721996307373], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
7,0.49714159965515137,"[0.010305912233889103, 0.003080938942730427, 1.037140965461731]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.50451,False,-4.504509925842285,"{'tracking_error': 4.50451, 'drone_position': [0.010305912233889103, 0.003080938942730427, 1.037140965461731], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
8,0.558617353439331,"[0.011901036836206913, 0.005377939902245998, 1.0420753955841064]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.5027695,False,-4.502769470214844,"{'tracking_error': 4.5027695, 'drone_position': [0.011901036836206913, 0.005377939902245998, 1.0420753955841064], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
9,0.6213915348052979,"[0.013571260496973991, 0.0076070744544267654, 1.047416090965271]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.500887,False,-4.500886917114258,"{'tracking_error': 4.500887, 'drone_position': [0.013571260496973991, 0.0076070744544267654, 1.047416090965271], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
